plan_id,test_name,instrument,trading_day,expiry,symbol,option_type,strike,selected_premium,planned_entry,planned_stop_loss,planned_targets,target_lots,final_status
plan_2026-04-17_NIFTY_CE_24100.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-17,2026-04-21,NIFTY,CE,24100.0,204.0,204.05,178.75,216.48;232.37;249.9,0;1;1,TRAILING_SL
plan_2026-04-17_NIFTY_PE_24200.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-17,2026-04-21,NIFTY,PE,24200.0,200.9,239.65,200.4,250.13;263.52;278.3,0;1;1,NOT_ENTERED
plan_2026-04-20_NIFTY_CE_24150.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-20,2026-04-21,NIFTY,CE,24150.0,219.3,293.85,248.26,316.32;344.97;376.6,0;1;1,STOPLOSS
plan_2026-04-20_NIFTY_PE_24400.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-20,2026-04-21,NIFTY,PE,24400.0,204.9,212.6,168.77,234.2;261.74;292.15,0;1;1,STOPLOSS
plan_2026-04-21_NIFTY_CE_24200.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-21,2026-04-21,NIFTY,CE,24200.0,236.0,236.05,203.74,251.95;272.25;294.65,0;1;1,TRAILING_SL
plan_2026-04-21_NIFTY_PE_24650.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-21,2026-04-21,NIFTY,PE,24650.0,240.0,308.6,270.85,327.2;350.91;377.1,0;1;1,NOT_ENTERED
plan_2026-04-20_NIFTY_CE_24350.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-20,2026-04-28,NIFTY,CE,24350.0,248.7,317.15,277.94,336.47;361.1;388.3,0;1;1,TRAILING_SL
plan_2026-04-20_NIFTY_PE_24400.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-20,2026-04-28,NIFTY,PE,24400.0,326.45,335.25,294.17,355.49;381.3;409.8,0;1;1,STOPLOSS
plan_2026-04-21_NIFTY_CE_24350.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-21,2026-04-28,NIFTY,CE,24350.0,309.0,309.05,278.1,317.27;327.79;339.4,0;1;1,TRAILING_SL
plan_2026-04-21_NIFTY_PE_24400.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-21,2026-04-28,NIFTY,PE,24400.0,254.6,300.1,274.72,312.58;328.51;346.1,0;1;1,NOT_ENTERED
plan_2026-04-22_NIFTY_CE_24450.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-22,2026-04-28,NIFTY,CE,24450.0,245.05,260.05,235.88,271.93;287.1;303.85,0;1;1,NOT_ENTERED
plan_2026-04-22_NIFTY_PE_24500.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-22,2026-04-28,NIFTY,PE,24500.0,246.7,272.2,236.8,281.63;293.69;307.0,0;1;1,STOPLOSS
